* Job Number,* Job Name,Original Contract ,Original Cost (Estimate),Retainage Percent,Internal Job Contact,Address Line 1,City,State,Zip Code,Customer Contact,Customer ID Code 
21108,Bedford Correc.l Facility WWTP,954500,706330,5,,"247 Harris Road
",Bedford Hills,NY,10507,,1001
23072,Florida Water Filtration,173000,128020,5,,315 Glennere Ave.,Florida,NY,10921,,1001
23099,Delano Hitch,315000,233100,5,,375 Washington St.,"
Newburgh",NY,12550,,1005
23108,WTP Lewisboro,299500,221630,5,,400 Oakridge Dr,South Salem,NY,10590,,1001
24021,Twin Towers,2700000,1998000,5,,112 Grand Ave,Middletown,NY,10940,,1002
24027,Croton Harmon,108000,79920,5,,10 Gerstein St,Croton-on-Hudson,NY,10520,,1009
24030,Beacon Pump Station,25600,18944,5,,West Main Street,Beacon,NY,12508,,1001
24047,Brewster H.S,65785,48680.9,5,,50 Foggintown rd,Brewster,NY,10509,,1009
24053,BOCES- Orange & Ulster,269000,199060,5,,4 Harriman Dr,Goshen,NY,10924,,1004
24059,Valley Cottage - Fisherman,148000,109520,5,,299 Rockland Lake Rd,Valley Cottage,NY,10989,,1006
24062,Katonah - John Jay MS,84320,62396.8,5,,40 N Salem Rd,Cross River,NY,10518,,1007
24073,Rockland Pomona,68100,50394,5,,50 Sanatorium Rd0,Pomona,NY,1098,,1006
24130,Schlathaus Stage,152000,112480,5,,127 All Angels Hill Rd,Wappinger,NY,12590,,1003
24120,Church Street Elem. School,68500,50690,5,,295 Church St,White Plains,NY,10603,,1009
24058,Kerhonkson WWT Facility,418000,309320,5,,1421 Berme Rd,Ellenville,NY,12428,,1010
24119,Mamaroneck Elementary,15500,11470,5,,7 Nosband Ave,White Plains,NY,10605,,1009
24127,Ulster County BOCES Axelrod,557500,412550,5,,53 Gibson Rd,Goshen,NY,10924,,1004
24126,Stony Point Headworks,1065000,788100,5,,North Street,Stony Point,NY,10980,,1008
24124,Maybrook Solar Farm,43000,31820,10,,36 Maybrook Rd,Montgomery,NY,12549,,1005
24125,Greenwood Lake School,55000,40700,10,,80 Waterstone Rd.,Greenwood Lake,NY,10952,,1005
25032,Roger Ludlowe,168500,124690,5,,689 Unquowa Rd,Fairfield,CT,06824,,1012
24121,Patterson EMS Building,154000,113960,5,,1142 Route 311,Patterson,NY,12563,,1011
25019,Nanuet Union Free School Dist.,122500,90650,5,,135 Convent Rd,Nanuet,NY,10954,,1014
25034,WL Morse Elementry School,750000,555000,5,,30 Pocantico St,Sleepy Hollow,NY,10591,,1017
25012,Ulster Operations Center,1299000,961260,5,,10 Paradies Lane,New Paltz,NY,12561,,1018
25005,Middletown -ECST Cold Storage,86000,63640,5,,223 Wisner Rd,Middletown,NY,10940,,1013
24084,Cromline Creek,260000,192400,5,,179 Meadow Ave,Chester,NY,10918,,1001
24079,Tuxedo Farm Route 17 Culvert,114500,84730,5,,Route 17,Sloatsburg,NY,10974,,1016
25050,New Roc HS Stairs,260000,192400,5,,265 Clover Rd,New Rochelle,NY,10801,,1015
